Farmer Code,Date,Shift,Cow/Buff,Qty,Rate,Amount,Fat,KiloFat,CanNo,EntryDt,c_KiloFat,c_KiloQty,,
24,05-04-2017 00:00,M,C,2.06,28.05,57.78,4.4,9.06,1,05-04-2017 08:37,0.09064,2.06,,
57,05-04-2017 00:00,M,C,1.2,31.94,38.33,5.8,6.96,1,05-04-2017 08:39,0.0696,1.2,,
137,05-04-2017 00:00,M,C,5.74,30.55,175.36,5.3,30.42,2,05-04-2017 08:40,0.30422,5.74,,
41,05-04-2017 00:00,M,C,2.78,28.33,78.76,4.5,12.51,2,05-04-2017 08:41,0.1251,2.78,,
76,05-04-2017 00:00,M,C,4.48,28.88,129.38,4.7,21.06,2,05-04-2017 08:42,0.21056,4.48,,
36,05-04-2017 00:00,M,C,6.02,29.71,178.85,5,30.1,2,05-04-2017 08:49,0.301,6.02,,
53,05-04-2017 00:00,M,C,12.64,29.99,379.07,5.1,64.46,2,05-04-2017 08:51,0.64464,12.64,,
10,05-04-2017 00:00,M,C,5.1,31.1,158.61,5.5,28.05,2,05-04-2017 08:55,0.2805,5.1,,
38,05-04-2017 00:00,M,C,5.9,29.16,172.04,4.8,28.32,3,05-04-2017 08:57,0.2832,5.9,,
149,05-04-2017 00:00,M,C,4.1,31.94,130.95,5.8,23.78,3,05-04-2017 08:58,0.2378,4.1,,
1,05-04-2017 00:00,M,C,9.9,28.88,285.91,4.7,46.53,3,05-04-2017 09:04,0.4653,9.9,,
155,05-04-2017 00:00,M,C,7.62,26.1,198.88,3.7,28.19,3,05-04-2017 09:06,0.28194,7.62,,
42,05-04-2017 00:00,M,B,2.46,58.14,143.02,10.2,25.09,1,05-04-2017 09:07,0.25092,2.46,,
73,05-04-2017 00:00,M,C,4.02,32.21,129.48,5.9,23.72,3,05-04-2017 09:08,0.23718,4.02,,
23,05-04-2017 00:00,M,B,6.14,43.32,265.98,7.6,46.66,1,05-04-2017 09:11,0.46664,6.14,,
27,05-04-2017 00:00,M,C,22.14,26.66,590.25,3.9,86.35,4,05-04-2017 09:12,0.86346,22.14,,
101,05-04-2017 00:00,M,C,1.6,30.55,48.88,5.3,8.48,4,05-04-2017 09:15,0.0848,1.6,,
159,02-04-2017 00:00,M,C,29.04,27.77,806.44,4.3,124.87,6,02-04-2017 09:37,1.24872,29.04,,
4,02-04-2017 00:00,M,C,11.56,26.66,308.19,3.9,45.08,6,02-04-2017 09:38,0.45084,11.56,,
155,02-04-2017 00:00,M,C,6.12,26.1,159.73,3.7,22.64,7,02-04-2017 09:39,0.22644,6.12,,
27,02-04-2017 00:00,M,C,21.56,25.55,550.86,3.5,75.46,7,02-04-2017 09:40,0.7546,21.56,,
137,02-04-2017 00:00,M,C,6.56,28.6,187.62,4.6,30.18,7,02-04-2017 09:40,0.30176,6.56,,
152,02-04-2017 00:00,M,B,9.52,35.34,336.44,6.2,59.02,1,02-04-2017 09:41,0.59024,9.52,,
152,02-04-2017 00:00,M,C,16.12,26.66,429.76,3.9,62.87,8,02-04-2017 09:42,0.62868,16.12,,
97,02-04-2017 00:00,M,C,16.4,28.05,460.02,4.4,72.16,8,02-04-2017 09:43,0.7216,16.4,,
158,02-04-2017 00:00,M,C,24.44,26.94,658.41,4,97.76,9,02-04-2017 09:44,0.9776,24.44,,
153,02-04-2017 00:00,M,C,1.62,30.55,49.49,5.3,8.59,9,02-04-2017 09:45,0.08586,1.62,,
36,02-04-2017 00:00,M,C,5.74,30.55,175.36,5.3,30.42,9,02-04-2017 09:46,0.30422,5.74,,
154,02-04-2017 00:00,M,C,1.24,26.38,32.71,3.8,4.71,9,02-04-2017 09:46,0.04712,1.24,,
111,02-04-2017 00:00,M,C,6.92,28.6,197.91,4.6,31.83,9,02-04-2017 09:48,0.31832,6.92,,
39,02-04-2017 00:00,M,C,27.68,27.77,768.67,4.3,119.02,10,02-04-2017 09:49,1.19024,27.68,,
50,02-04-2017 00:00,M,C,10.68,26.94,287.72,4,42.72,10,02-04-2017 09:50,0.4272,10.68,,
16,02-04-2017 00:00,M,C,4.78,26.66,127.43,3.9,18.64,10,02-04-2017 09:51,0.18642,4.78,,
143,02-04-2017 00:00,M,C,20.72,26.66,552.4,3.9,80.81,11,02-04-2017 09:52,0.80808,20.72,,
123,02-04-2017 00:00,M,B,2.26,35.91,81.16,6.3,14.24,2,02-04-2017 09:53,0.14238,2.26,,
123,02-04-2017 00:00,M,C,10.04,25.83,259.33,3.6,36.14,11,02-04-2017 09:54,0.36144,10.04,,
153,03-04-2017 00:00,M,C,1.7,31.66,53.82,5.7,9.69,4,03-04-2017 09:20,0.0969,1.7,,
7,03-04-2017 00:00,M,C,6.86,31.38,215.27,5.6,38.42,5,03-04-2017 09:21,0.38416,6.86,,
70,03-04-2017 00:00,M,C,6.82,29.16,198.87,4.8,32.74,5,03-04-2017 09:22,0.32736,6.82,,
140,03-04-2017 00:00,M,C,16.48,29.16,480.56,4.8,79.1,5,03-04-2017 09:24,0.79104,16.48,,
73,03-04-2017 00:00,M,B,3.24,35.34,114.5,6.2,20.09,1,03-04-2017 09:24,0.20088,3.24,,
111,03-04-2017 00:00,M,C,7.12,29.71,211.54,5,35.6,5,03-04-2017 09:26,0.356,7.12,,
