Farmer Code,Date,Shift,Cow/Buff,Qty,Rate,Amount,Fat,KiloFat = Qty * Fat,CanNo,EntryDt,c_KiloFat,c_KiloQty
45,04-04-2017 00:00,E,C,1.04,29.16,30.33,4.8,4.99,4,04-04-2017 21:35,0.04992,1.04
108,04-04-2017 00:00,E,C,3.14,28.05,88.08,4.4,13.82,4,04-04-2017 21:44,0.13816,3.14
113,04-04-2017 00:00,E,C,1.82,28.6,52.05,4.6,8.37,4,04-04-2017 21:44,0.08372,1.82
141,04-04-2017 00:00,E,C,4.26,32.21,137.21,5.9,25.13,4,04-04-2017 21:45,0.25134,4.26
17,04-04-2017 00:00,E,C,8.3,31.1,258.13,5.5,45.65,4,04-04-2017 21:45,0.4565,8.3
66,04-04-2017 00:00,E,C,12.32,28.88,355.8,4.7,57.9,4,04-04-2017 21:49,0.57904,12.32
66,04-04-2017 00:00,E,C,1.28,28.88,36.97,4.7,6.02,5,04-04-2017 21:50,0.06016,1.28
71,04-04-2017 00:00,E,C,1.96,30.82,60.41,5.4,10.58,5,04-04-2017 21:50,0.10584,1.96
136,05-04-2017 00:00,M,C,40.34,28.05,1131.54,4.4,177.5,9,05-04-2017 11:13,1.77496,40.34
104,05-04-2017 00:00,M,C,3.72,28.05,104.35,4.4,16.37,9,05-04-2017 11:13,0.16368,3.72
1000,05-04-2017 00:00,M,B,91.66,40.47,3709.48,7.1,650.79,5,05-04-2017 11:14,6.50786,91.66
1000,05-04-2017 00:00,M,C,345.99,28.33,9801.9,4.5,1556.96,18,05-04-2017 11:14,15.56955,345.99
123,05-04-2017 00:00,E,C,1.28,26.66,34.12,3.9,4.99,1,05-04-2017 20:24,0.04992,1.28
124,05-04-2017 00:00,E,C,2.54,30.82,78.28,5.4,13.72,1,05-04-2017 20:36,0.13716,2.54
119,05-04-2017 00:00,E,C,6.12,29.16,178.46,4.8,29.38,1,05-04-2017 20:37,0.29376,6.12
90,05-04-2017 00:00,E,C,2.96,29.44,87.14,4.9,14.5,1,05-04-2017 20:44,0.14504,2.96
157,05-04-2017 00:00,E,C,5.5,26.38,145.09,3.8,20.9,1,05-04-2017 20:50,0.209,5.5
25,05-04-2017 00:00,E,C,1.84,27.21,50.07,4.1,7.54,1,05-04-2017 20:51,0.07544,1.84
127,05-04-2017 00:00,E,C,1.82,27.49,50.03,4.2,7.64,1,05-04-2017 20:53,0.07644,1.82
122,05-04-2017 00:00,E,C,1.54,29.16,44.91,4.8,7.39,1,05-04-2017 20:54,0.07392,1.54
40,05-04-2017 00:00,E,C,3.5,25.55,89.43,3.5,12.25,1,05-04-2017 20:57,0.1225,3.5
42,05-04-2017 00:00,E,C,11.02,28.88,318.26,4.7,51.79,1,05-04-2017 21:04,0.51794,11.02
181,05-04-2017 00:00,E,C,2.64,26.38,69.64,3.8,10.03,2,05-04-2017 21:06,0.10032,2.64
173,05-04-2017 00:00,E,C,6.4,27.49,175.94,4.2,26.88,2,05-04-2017 21:09,0.2688,6.4
98,05-04-2017 00:00,E,C,2.02,28.6,57.77,4.6,9.29,2,05-04-2017 21:11,0.09292,2.02
111,05-04-2017 00:00,E,C,4.22,28.88,121.87,4.7,19.83,2,05-04-2017 21:12,0.19834,4.22
30,05-04-2017 00:00,E,C,3.68,26.38,97.08,3.8,13.98,2,05-04-2017 21:14,0.13984,3.68
41,05-04-2017 00:00,E,B,4.86,36.48,177.29,6.4,31.1,1,05-04-2017 21:14,0.31104,4.86
86,05-04-2017 00:00,E,C,4.18,32.21,134.64,5.9,24.66,2,05-04-2017 21:17,0.24662,4.18
26,05-04-2017 00:00,E,C,2.16,32.21,69.57,5.9,12.74,2,05-04-2017 21:18,0.12744,2.16
172,05-04-2017 00:00,E,C,1.38,28.88,39.85,4.7,6.49,2,05-04-2017 21:18,0.06486,1.38
